timestamp,machine_id,actual_kwh,predicted_kwh,recon_error,threshold,is_anomaly,alert_sent,latency_ms
2026-04-13T20:48:38,0,254.595,267.325,0.055343,0.097835,0,0,4.55
2026-04-13T20:48:38,0,247.769,260.157,0.054883,0.097835,0,0,0.62
2026-04-13T20:48:39,0,258.69,271.625,0.054202,0.097835,0,0,0.58
2026-04-13T20:48:39,0,254.595,267.325,0.053869,0.097835,0,0,0.55
2026-04-13T20:48:40,0,268.929,282.375,0.053511,0.097835,0,0,0.45
2026-04-13T20:48:40,0,237.531,249.408,0.055508,0.097835,0,0,0.59
2026-04-13T20:48:41,0,239.579,251.558,0.056192,0.097835,0,0,0.55
2026-04-13T20:48:42,0,236.848,248.69,0.056927,0.097835,0,0,0.54
2026-04-13T20:48:42,0,234.118,245.824,0.058316,0.097835,0,0,0.52
2026-04-13T20:48:43,0,229.34,240.807,0.05996,0.097835,0,0,0.66
2026-04-13T20:48:43,0,206.133,216.44,0.062946,0.097835,0,0,0.58
2026-04-13T20:48:44,0,216.372,227.191,0.065449,0.097835,0,0,0.45
2026-04-13T20:48:44,0,221.149,232.206,0.068585,0.097835,0,0,0.46
2026-04-13T20:48:45,0,266.199,279.509,0.061556,0.097835,0,0,0.5
2026-04-13T20:48:45,0,241.626,253.707,0.056925,0.097835,0,0,0.47
2026-04-13T20:48:46,0,240.261,252.274,0.051312,0.097835,0,0,0.53
2026-04-13T20:48:46,0,248.452,260.875,0.045378,0.097835,0,0,0.59
2026-04-13T20:48:47,0,224.562,235.79,0.0406,0.097835,0,0,0.43
2026-04-13T20:48:47,0,229.34,240.807,0.035037,0.097835,0,0,0.48
2026-04-13T20:48:48,0,227.293,238.658,0.02772,0.097835,0,0,0.98
2026-04-13T20:48:48,0,230.705,242.24,0.025429,0.097835,0,0,0.78
2026-04-13T20:48:49,0,239.579,251.558,0.025693,0.097835,0,0,0.7
2026-04-13T20:48:49,0,238.214,250.125,0.026018,0.097835,0,0,0.56
2026-04-13T20:48:50,0,236.166,247.974,0.026076,0.097835,0,0,0.56
2026-04-13T20:48:50,0,247.769,260.157,0.025333,0.097835,0,0,0.66
2026-04-13T20:48:51,0,242.309,254.424,0.024769,0.097835,0,0,0.56
2026-04-13T20:48:51,0,229.34,240.807,0.023423,0.097835,0,0,0.65
2026-04-13T20:48:52,0,221.149,232.206,0.023214,0.097835,0,0,0.5
2026-04-13T20:48:52,0,224.562,235.79,0.021235,0.097835,0,0,0.47
2026-04-13T20:48:53,0,223.197,234.357,0.02192,0.097835,0,0,0.51
2026-04-13T20:48:53,0,232.753,244.391,0.02136,0.097835,0,0,0.56
2026-04-13T20:48:54,0,212.276,222.89,0.022627,0.097835,0,0,0.47
2026-04-13T20:48:54,0,215.689,226.473,0.02331,0.097835,0,0,0.44
2026-04-13T20:48:55,0,215.689,226.473,0.023407,0.097835,0,0,0.47
2026-04-13T20:48:55,0,214.324,225.04,0.02283,0.097835,0,0,0.49
2026-04-13T20:48:56,0,217.737,228.624,0.022822,0.097835,0,0,0.61
2026-04-13T20:48:57,0,240.944,252.991,0.024291,0.097835,0,0,0.64
2026-04-13T20:48:57,0,256.643,269.475,0.023315,0.097835,0,0,1.31
2026-04-13T20:48:58,0,244.357,256.575,0.023585,0.097835,0,0,0.5
2026-04-13T20:48:58,0,317.39,333.26,0.031841,0.097835,0,0,0.45
2026-04-13T20:48:59,0,320.803,336.843,0.038693,0.097835,0,0,0.53
2026-04-13T20:48:59,0,303.057,318.21,0.04567,0.097835,0,0,0.5
2026-04-13T20:49:00,0,296.914,311.76,0.05198,0.097835,0,0,0.51
2026-04-13T20:49:00,0,284.628,298.859,0.056153,0.097835,0,0,0.53
2026-04-13T20:49:01,0,245.722,258.008,0.05525,0.097835,0,0,0.65
2026-04-13T20:49:01,0,258.69,271.625,0.055962,0.097835,0,0,0.47
2026-04-13T20:49:02,0,245.722,258.008,0.055409,0.097835,0,0,0.48
2026-04-13T20:49:02,0,259.373,272.342,0.057369,0.097835,0,0,0.56
2026-04-13T20:49:03,0,222.515,233.641,0.058011,0.097835,0,0,0.53
2026-04-13T20:49:03,0,226.61,237.941,0.058366,0.097835,0,0,0.73
2026-04-13T20:49:04,0,219.102,230.057,0.059058,0.097835,0,0,0.88
2026-04-13T20:49:04,0,212.276,222.89,0.059744,0.097835,0,0,0.46
2026-04-13T20:49:05,0,221.832,232.924,0.060095,0.097835,0,0,0.48
2026-04-13T20:49:05,0,208.863,219.306,0.061231,0.097835,0,0,0.75
2026-04-13T20:49:06,0,215.006,225.756,0.062714,0.097835,0,0,0.57
2026-04-13T20:49:06,0,223.197,234.357,0.062141,0.097835,0,0,0.6
2026-04-13T20:49:07,0,212.276,222.89,0.062639,0.097835,0,0,0.45
2026-04-13T20:49:07,0,214.324,225.04,0.063012,0.097835,0,0,0.59
2026-04-13T20:49:08,0,215.006,225.756,0.063252,0.097835,0,0,0.5
